,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,artist_id,album_type,available_market_num,release_date,genres,artist_popularity,artist_followers
9,Underground Solution,Luv Dancin' (feat. Jasmine),Luv Dancin' (feat. Jasmine) - In Deep Mix,6m8hR5imH68kTZlLdYSB4L,0.757,0.87,1,-7.388,1,0.0383,0.862,0.348,0.42,122.92,501747,4,0.00552,5npk2VWFPRppHeqXqQVFw8,single,178,1990,"garage house,speed garage",22,961
41,4 Non Blondes,"Bigger, Better, Faster, More !",What's Up?,0jWgAnTrNZmOGmqgvHhZEm,0.565,0.564,2,-10.044,1,0.0292,0,0.114,0.454,134.355,295533,4,0.161,0Je74SitssvJg1w4Ra2EK7,album,178,1992,"new wave pop,pop rock",67,330133
29,R.E.M.,Automatic For The People,Man On The Moon,4jLv3tDBu8ww2R07DvL12s,0.667,0.699,7,-7.574,1,0.026,0.000442,0.201,0.655,118.567,314173,4,0.42,4KWTAlx2RvbpseOGMEmROg,album,178,1992,"alternative rock,athens indie,classic rock,permanent wave,pop rock,rock",77,3073277
33,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",Linger,0gEyKnHvgkrkBM6fbeHdwK,0.439,0.434,7,-14.918,1,0.0265,4.87E-05,0.14,0.204,94.845,274707,4,0.0783,7t0rwkOPGlDPEhaOcVtOt9,album,178,1993,"irish rock,pop rock",77,2516491
8,Bob Dylan,Greatest Hits Volume 3,Forever Young,1qli6fjEVdmMgssWy55eiZ,0.49,0.461,2,-10.295,1,0.0433,0.000749,0.125,0.338,135.068,296400,4,0.241,74ASZWbe4lXaubB36ztrGX,compilation,178,1994,"album rock,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter",78,5159767
32,Ernest Ranglin,Sound & Power,Ranglin Doddlin,5zCnf9BKOrW8udpnk4hvnP,0.608,0.251,7,-17.919,0,0.111,0.545,0.108,0.779,85.781,126680,4,0.31,6RTCb5pWKinqlUyG2qacit,album,178,1998,"afrobeat,dub,funk,reggae,rock steady,roots reggae,ska,world",51,43015
30,Various Artists,Feel Like Jumping: The Best of Studio One Women,No No No,1IydAjgvKCvFinmoIDaBx0,0.804,0.412,6,-10.373,1,0.0508,0.884,0.16,0.391,146.676,269507,4,0.573,0LyfQWJT6nXafLPZqxe9Of,compilation,178,2000,,0,1236008
10,Alison Moyet,Alison Moyet - The Essential Collection,Nobody's Diary,3OKKQJutqpFpqcpoA8nA6p,0.834,0.669,9,-8.02,1,0.0351,0.000476,0.0726,0.807,128.689,269480,4,0.265,0s0rOb0gT2S9N0SDcjtPC4,album,178,2001,"new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop",55,319618
57,Master C & J,Best Of Master C & J,No More Mind Games,2008PScJCi0DmHIA203Vcg,0.587,0.956,1,-6.07,1,0.043,0.0849,0.631,0.646,120.528,400640,4,0.391,5Kd2LdU41qGHtBSlivGddv,single,178,2003,"chicago house,classic house,hip house",10,1159
2,Various Artists,Reggae Anthology: The Channel One Story,Queen Majesty,5PUpkH1xBI7x7QjDKEQ9cJ,0.654,0.485,0,-6.986,1,0.0575,2.06E-06,0.11,0.281,153.849,417093,4,0.0124,0LyfQWJT6nXafLPZqxe9Of,compilation,178,2004,,0,1236008
64,Mariya Takeuchi,Expressions,Eki,5YATMi0sXvPQS42PtndAcH,0.452,0.777,1,-4.676,0,0.0387,0,0.0684,0.387,94.63,290507,4,0.238,3WwGRA2o4Ux1RRMYaYDh7N,album,178,2008,"classic city pop,idol kayo,j-pop,japanese singer-songwriter",59,258593
23,Kanye West,808s & Heartbreak,Coldest Winter,2RRFTLIglxHgAYQzsSLI4Y,0.761,0.516,0,-10.229,1,0.044,3.21E-06,0.265,0.562,133.999,164333,4,0.171,5K4W6rqBFWDnAN6FQUkS6x,album,178,2008,"chicago rap,rap",93,14434736
21,Wailing Souls,Wailing,Penny I Love You,2iBhXtP7WDiAMAqovkYPKa,0.804,0.395,7,-12.038,1,0.0344,0.402,0.1,0.931,143.223,198800,4,0.44,2ffhJMXvdEJFZISX76ccQL,album,178,2008,"dub,lovers rock,old school dancehall,reggae,rock steady,roots reggae,ska",50,90666
1,Kanye West,808s & Heartbreak,Say You Will,5e5MKPtJuFb8NaeSEyV5gD,0.603,0.401,0,-10.155,0,0.0306,0.225,0.103,0.347,172.633,377600,4,0.542,5K4W6rqBFWDnAN6FQUkS6x,album,178,2008,"chicago rap,rap",93,14434736
49,Raze,Break 4 Love,Break 4 Love,3xa4wTdi7bmI4gGfpKsh8z,0.83,0.74,0,-7.163,0,0.0468,0.248,0.0494,0.921,118.971,303933,4,0.114,0zXA9oFK84ha3Y4CyF9VWI,single,178,2009,acid house,12,92
44,Hardrive,Deep Inside (2009 Mixes),Deep Inside,22eUyC9vOG2aoP5yHX8VxV,0.785,0.855,11,-7.425,0,0.0678,0.00222,0.148,0.805,123.664,390560,4,0.00842,0IF4B0ZFCLAbcshTusfEl1,single,178,2009,"chicago house,classic house,hip house",44,6667
62,Gemma Hayes,Wicked Game,Wicked Game,0HKLzcztfHW7o9b2i0PwtV,0.63,0.191,0,-16.063,1,0.0296,0.00974,0.118,0.264,110.068,245776,4,0.817,1blgL26JbtaUUKUEMR6Hs2,single,178,2012,irish singer-songwriter,45,18409
36,Various Artists,Elaste Volume 4 - compiled by Dompteur Mooner,"Love Honey, Love Heartache - Larry Levan's Original Unreleased Garage Demo Mix",65dHnZT0Twc4dJoKXAVDCn,0.907,0.584,10,-9.211,0,0.165,0.766,0.133,0.651,118.319,406676,4,0.216,0LyfQWJT6nXafLPZqxe9Of,compilation,178,2014,,0,1236008
24,Eryn Allen Kane,Aviary: Act 1,Slipping,5qVgjRn125fERbF5bY7Zvb,0.697,0.396,7,-9.241,1,0.039,1.33E-05,0.114,0.212,92.978,222937,4,0.823,5xI4mPixKfrCCspATqbpy3,single,178,2015,"alternative r&b,indie soul",52,66300
48,Jimi Hendrix,Both Sides of the Sky,Jungle,4f5nUYzeUioPwNbz2mGx5S,0.497,0.499,9,-12.348,0,0.056,0.73,0.222,0.516,174.608,208120,3,0.0558,776Uo845nYHJpNaStv1Ds4,album,178,2018,"acid rock,album rock,blues rock,classic rock,psychedelic rock,rock",76,5057952
35,A$AP Rocky,TESTING,Purity (feat. Frank Ocean),3ptdtaRrzO0jMHo1xw9Re3,0.574,0.372,11,-11.362,0,0.395,3.30E-06,0.109,0.284,99.975,262360,4,0.836,13ubrt8QOOCPljQ2FL1Kca,album,178,2018,"east coast hip hop,hip hop,rap,trap",86,9501870
6,YNW Melly,Mischief On My Mind,Mischief On My Mind,3r8zXbAJfqt2NU8tdWWUtH,0.761,0.656,0,-7.735,0,0.0364,0,0.104,0.53,114.988,267136,4,0.142,1cNDP5yjU5vjeR8qMf4grg,single,178,2018,"melodic rap,trap",80,6259252
12,i-genius,A Lot (Instrumental Remix),A Lot (Instrumental Remix),5VlYYuWzltI44T0i4eV7pj,0.77,0.52,1,-10.985,1,0.13,0.895,0.108,0.416,145.972,273985,1,0.000544,5zQF1DVAX464QQhSg7YHGa,single,178,2019,beats,33,2508
11,Bthelick,Wicked Game,Wicked Game,5jy1cdnKDZjhHwIbDoWggr,0.735,0.569,6,-10.223,0,0.0319,0.315,0.105,0.235,120.006,320052,4,0.363,2UYyL9j9Rrdy0qF9U8jOdI,single,178,2019,,46,1598
42,Y.V.E. 48,Wicked Game,Wicked Game,3OKXoqt03pPP0EbSQpzmQJ,0.802,0.382,9,-14.841,1,0.0468,0.0271,0.161,0.0894,117.969,166525,4,0.131,5zSWGyWE5d0PYaYrtdVwOz,single,178,2021,"deep house,deep tropical house,new french touch,pop dance,pop edm,tropical house",63,53879
